county,2014 primary,2014 general,2016 primary,2016 general,2018 primary
Anderson,X,X,,,
Andrews,X,X,,,
Angelina,R,X,,,
Aransas,X,X,,,
Archer,,X,,,
Armstrong,R,X,,,
Atascosa,X,X,,,
Austin,,,,,
Bailey,X,,,,
Bandera,X,X,,,
Bastrop,X,X,,,
Baylor,,X,,,
Bee,X,X,,,
Bell,X,X,,,
Bexar,X,X,,,
Blanco,X,,,,
Borden,,X,,,
Bosque,R,X,,,
Bowie,X,X,,,
Brazoria,X,X,,,
Brazos,X,X,,,
Brewster,,,,,
Briscoe,X,X,,,
Brooks,,,,,
Brown,X,X,,,
Burleson,X,X,,,
Burnet,X,X,,,
Caldwell,X,X,,,
Calhoun,X,X,,,
Callahan,R,,,,
Cameron,,X,,,
Camp,,X,,,
Carson,,X,,,
Cass,X,X,,,
Castro,,X,,,
Chambers,X,X,,,
Cherokee,X,X,,,
Childress,X,X,,,
Clay,X,X,,,
Cochran,,,,,
Coke,X,X,,,
Coleman,X,X,,,
Collin,R,X,,,
Collingsworth,,X,,,
Colorado,X,X,,,
Comal,,X,,,
Comanche,X,X,,,
Concho,X,X,,,
Cooke,X,X,,,
Coryell,D,X,,,
Cottle,D,X,,,
Crane,X,X,,,
Crockett,,X,,,
Crosby,D,,,,
Culberson,D,,,,
Dallam,R,X,,,
Dallas,X,X,,,
Dawson,,,,,
Deaf Smith,,,,,
Delta,,X,,,
Denton,,X,,,
DeWitt,X,X,,,
Dickens,R,,,,
Dimmit,,,,,
Donley,,X,,,
Duval,D,X,,,
Eastland,X,X,,,
Ector,X,X,,,
Edwards,X,X,,,
Ellis,X,X,,,
El Paso,,X,,,
Erath,X,X,,,
Falls,X,X,,,
Fannin,X,X,,,
Fayette,X,X,,,
Fisher,X,X,,,
Floyd,X,X,,,
Foard,X,X,,,
Fort Bend,X,X,,,
Franklin,X,X,,,
Freestone,X,X,,,
Frio,,X,,,
Gaines,X,X,,,
Galveston,,X,,,
Garza,X,X,,,
Gillespie,X,X,,,
Glasscock,,,,,
Goliad,,,,,
Gonzales,R,X,,,
Gray,,X,,,
Grayson,X,X,,,
Gregg,X,X,,,
Grimes,X,X,,,
Guadalupe,X,X,,,
Hale,R,X,,,
Hall,R,,,,
Hamilton,X,X,,,
Hansford,R,X,,,
Hardeman,,,,,
Hardin,,X,,,
Harris,X,X,,,
Harrison,X,X,,,
Hartley,,X,,,
Haskell,,X,,,
Hays,X,X,,,
Hemphill,X,X,,,
Henderson,X,X,,,
Hidalgo,X,X,,,
Hill,X,X,,,
Hockley,X,X,,,
Hood,R,X,,,
Hopkins,X,X,,,
Houston,X,X,,,
Howard,X,X,,,
Hudspeth,,X,,,
Hunt,X,X,,,
Hutchinson,R,X,,,
Irion,X,X,,,
Jack,X,X,,,
Jackson,,X,,,
Jasper,D,,,,
Jeff Davis,,,,,
Jefferson,X,X,,,
Jim Hogg,,,,,
Jim Wells,X,X,,,
Johnson,R,X,,,
Jones,X,X,,,
Karnes,X,X,,,
Kaufman,X,X,,,
Kendall,X,X,,,
Kenedy,X,X,,,
Kent,,,,,
Kerr,X,X,,,
Kimble,R,X,,,
King,,,,,
Kinney,,,,,
Kleberg,,,,,
Knox,,,,,
Lamar,,,,,
Lamb,,,,,
Lampasas,,,,,
La Salle,,,,,
Lavaca,,,,,
Lee,,X,,,
Leon,,,,,
Liberty,,,,,
Limestone,,,,,
Lipscomb,,,,,
Live Oak,,,,,
Llano,,,,,
Loving,,,,,
Lubbock,,X,,,
Lynn,,,,,
McCulloch,,,,,
McLennan,,,,,
McMullen,,,,,
Madison,,,,,
Marion,,,,,
Martin,,,,,
Mason,,,,,
Matagorda,,,,,
Maverick,,,,,
Medina,,,,,
Menard,,,,,
Midland,,,,,
Milam,,,,,
Mills,,,,,
Mitchell,,,,,
Montague,,X,,,
Montgomery,,X,,,
Moore,,,,,
Morris,,,,,
Motley,,,,,
Nacogdoches,,,,,
Navarro,,,,,
Newton,,,,,
Nolan,,,,,
Nueces,,,,,
Ochiltree,,,,,
Oldham,,,,,
Orange,,,,,
Palo Pinto,,,,,
Panola,,,,,
Parker,,,,,
Parmer,,,,,
Pecos,,,,,
Polk,,,,,
Potter,,X,,,
Presidio,,,,,
Rains,,,,,
Randall,,X,,,
Reagan,,,,,
Real,,,,,
Red River,,,,,
Reeves,,,,,
Refugio,,X,,,
Roberts,,,,,
Robertson,,,,,
Rockwall,,X,,,
Runnels,,,,,
Rusk,,X,,,
Sabine,,X,,,
San Augustine,,,,,
San Jacinto,,,,,
San Patricio,,X,,,
San Saba,,,,,
Schleicher,,,,,
Scurry,,,,,
Shackelford,,,,,
Shelby,,,,,
Sherman,,,,,
Smith,,,,,
Somervell,,,,,
Starr,,,,,
Stephens,,,,,
Sterling,,,,,
Stonewall,,,,,
Sutton,,,,,
Swisher,,,,,
Tarrant,,,,,
Taylor,,,,,
Terrell,,,,,
Terry,,,,,
Throckmorton,,,,,
Titus,,,,,
Tom Green,,X,,,
Travis,,,,,
Trinity,,,,,
Tyler,,,,,
Upshur,,,,,
Upton,,,,,
Uvalde,,,,,
Val Verde,,X,,,
Van Zandt,,,,,
Victoria,,,,,
Walker,,X,,,
Waller,,X,,,
Ward,,,,,
Washington,,,,,
Webb,,X,,,
Wharton,,,,,
Wheeler,,,,,
Wichita,,,,,
Wilbarger,,,,,
Willacy,,,,,
Williamson,,,,,
Wilson,,,,,
Winkler,,,,,
Wise,,,,,
Wood,,X,,,
Yoakum,,,,,
Young,,,,,
Zapata,,,,,
Zavala,,,,,
